论文章节,表格编号,方法名称,指标名称,论文声明值,复现实验值,差值,相对误差,是否一致,是否建议修改,修改建议
§4.2,表2,DCP,PSNR↑/dB,15.92,16.335(代理集),+0.415,+2.6%,不可比较（测试集不同）,待验证,⚠️代理集参考为RIDCP伪标签；DCP与RIDCP风格接近导致PSNR偏高
§4.2,表2,DCP,SSIM↑,0.821,0.6323(代理集),-0.189,-23.0%,不可比较（测试集不同）,待验证,同上
§4.2,表2,DCP,MAE↓,0.151,0.1336(代理集),-0.017,-11.5%,不可比较（测试集不同）,待验证,同上
§4.2,表2,DCP,Vis↑,0.812,0.7746(代理集),-0.037,-4.6%,不可比较（测试集不同）,待验证,Vis基本一致；DCP去雾效果在两个数据集上均较好
§4.2,表2,CLAHE,PSNR↑/dB,16.48,18.071(代理集),+1.591,+9.7%,不可比较（测试集不同）,待验证,⚠️代理集参考为RIDCP伪标签；PSNR偏高因RIDCP偏好对比增强输出
§4.2,表2,CLAHE,SSIM↑,0.805,0.7755(代理集),-0.030,-3.7%,不可比较（测试集不同）,待验证,SSIM较接近；代理集结构相似度相对稳健
§4.2,表2,CLAHE,MAE↓,0.137,0.1049(代理集),-0.032,-23.4%,不可比较（测试集不同）,待验证,同上
§4.2,表2,CLAHE,Vis↑,0.897,0.6562(代理集),-0.241,-26.9%,不可比较（测试集不同）,待验证,Vis差距较大；40视频整体视觉质量低于论文测试场景
§4.2,表2,Retinex,PSNR↑/dB,15.76,10.716(代理集),-5.044,-32.0%,不可比较（测试集不同）,待验证,Retinex在低光/矿山场景表现较差；RIDCP伪标签与Retinex风格差异大
§4.2,表2,Retinex,SSIM↑,0.681,0.2366(代理集),-0.444,-65.2%,不可比较（测试集不同）,待验证,Retinex引入严重结构噪声；SSIM大幅下降与代理集参考类型相关
§4.2,表2,Retinex,MAE↓,0.141,0.2244(代理集),+0.083,+59.1%,不可比较（测试集不同）,待验证,同上
§4.2,表2,Retinex,Vis↑,0.884,0.3974(代理集),-0.487,-55.1%,不可比较（测试集不同）,待验证,Retinex在低光矿山场景中过饱和/细节损失严重
§4.2,表2,RIDCP,PSNR↑/dB,20.74,N/A(无RIDCP权重),-,-,未验证,待验证,需RIDCP推理权重；代理集参考为RIDCP自身伪标签（天然PSNR=∞偏差）
§4.2,表2,RIDCP,SSIM↑,0.925,N/A(无RIDCP权重),-,-,未验证,待验证,同上
§4.2,表2,RIDCP,MAE↓,0.084,N/A(无RIDCP权重),-,-,未验证,待验证,同上
§4.2,表2,RIDCP,Vis↑,0.903,N/A(无RIDCP权重),-,-,未验证,待验证,同上
§4.2,表2,骨干基线,PSNR↑/dB,22.86,18.783(代理集),-4.077,-17.8%,不可比较（测试集不同）,待验证,⚠️论文骨干基线已在矿山数据微调；Student.pth为零样本推理；差值来自微调vs未微调
§4.2,表2,骨干基线,SSIM↑,0.949,0.7406(代理集),-0.208,-21.9%,不可比较（测试集不同）,待验证,同上；Student未在矿山域微调导致SSIM偏低
§4.2,表2,骨干基线,MAE↓,0.064,0.0995(代理集),+0.035,+55.5%,不可比较（测试集不同）,待验证,同上
§4.2,表2,骨干基线,Vis↑,0.918,0.6916(代理集),-0.226,-24.6%,不可比较（测试集不同）,待验证,同上
§4.2,表2,LUCIDMine,PSNR↑/dB,23.42,23.014(代理集),-0.406,-1.7%,不可比较（测试集不同）,是（高风险）,"代理集(n=152,RIDCP伪标签)PSNR=23.014，与论文(n=288,真实配对)差-0.41dB；测试集不等价，差距主要来自数据集差异"
§4.2,表2,LUCIDMine,SSIM↑,0.956,0.8438(代理集),-0.1122,-11.7%,不可比较（测试集不同）,是（高风险）,代理集SSIM=0.8438，与论文差-0.1122；测试集不等价
§4.2,表2,LUCIDMine,MAE↓,0.057,0.0635(代理集),+0.0065,+11.5%,不可比较（测试集不同）,是（高风险）,代理集MAE=0.0635（masked L1），与论文差+0.0065；测试集不等价
§4.2,表2,LUCIDMine,Vis↑,0.931,待EXP-201(GPU训练中),-,-,缺少实验支撑,是（高风险）,同上
§4.3,表3,输入原图,Vis↑,0.896,缺少实验支撑,-,-,缺少实验支撑,待验证,需6场景代表图像；40视频整体Vis=0.526（场景不同）
§4.3,表3,LUCIDMine,Vis↑,0.909,缺少实验支撑,-,-,缺少实验支撑,是（高风险）,无LUCIDMine推理结果；无场景图像
§4.3,表3,LUCIDMine,锐度,0.028,缺少实验支撑,-,-,缺少实验支撑,待验证,同上
§4.3,表3,LUCIDMine,眩光↓,0.014,缺少实验支撑,-,-,缺少实验支撑,待验证,同上
§4.3,表3,LUCIDMine,过曝率↓,0.054,缺少实验支撑,-,-,缺少实验支撑,待验证,同上
§4.4,表4,输入原图,PSNR↑/dB,22.38±3.20,缺少实验支撑,-,-,缺少实验支撑,待验证,需30对合成测试集
§4.4,表4,LUCIDMine,PSNR↑/dB,23.11±3.02,缺少实验支撑,-,-,缺少实验支撑,是（高风险）,无LUCIDMine微调权重；无合成测试集
§4.4,表4,LUCIDMine,SSIM↑,0.954±0.035,缺少实验支撑,-,-,缺少实验支撑,是（高风险）,同上
§4.4,表4,LUCIDMine,MAE↓,0.059±0.018,缺少实验支撑,-,-,缺少实验支撑,是（高风险）,同上
§4.4,表4,LUCIDMine,Vis↑,0.930±0.023,缺少实验支撑,-,-,缺少实验支撑,是（高风险）,同上
§4.5,表5,骨干基线,PSNR↑/dB,20.26,缺少实验支撑,-,-,缺少实验支撑,待验证,需30对合成测试集
§4.5,表5,骨干基线,SSIM↑,0.927,缺少实验支撑,-,-,缺少实验支撑,待验证,同上
§4.5,表5,骨干 + VCA,PSNR↑/dB,23.07,缺少实验支撑,-,-,缺少实验支撑,是（高风险）,无VCA-only微调权重
§4.5,表5,骨干 + VCA,SSIM↑,0.952,缺少实验支撑,-,-,缺少实验支撑,是（高风险）,同上
§4.5,表5,骨干 + VCA,Vis↑,0.927,缺少实验支撑,-,-,缺少实验支撑,是（高风险）,同上
§4.5,表5,骨干 + GARC,PSNR↑/dB,20.26,缺少实验支撑,-,-,缺少实验支撑,是（高风险）,无GARC-only微调权重
§4.5,表5,LUCIDMine完整,PSNR↑/dB,23.11,缺少实验支撑,-,-,缺少实验支撑,是（高风险）,无LUCIDMine微调权重
§4.5,表5,LUCIDMine完整,SSIM↑,0.954,缺少实验支撑,-,-,缺少实验支撑,是（高风险）,同上
§4.7,表6,LUCIDMine,M1缆线眩光Vis,0.926,缺少实验支撑,-,-,缺少实验支撑,待验证,需M1场景图像+LUCIDMine推理
§4.7,表6,LUCIDMine,M2矿工场景Vis,0.878,缺少实验支撑,-,-,缺少实验支撑,待验证,需M2场景图像
§4.7,表6,LUCIDMine,M3绿色灯光Vis,0.856,缺少实验支撑,-,-,缺少实验支撑,待验证,需M3场景图像
§4.7,表6,LUCIDMine,M4仪表雾化Vis,0.922,缺少实验支撑,-,-,缺少实验支撑,待验证,需M4场景图像
§4.7,表6,LUCIDMine,M5顶板纹理Vis,0.941,缺少实验支撑,-,-,缺少实验支撑,待验证,需M5场景图像
§4.7,表6,LUCIDMine,M6机械扬尘Vis,0.932,缺少实验支撑,-,-,缺少实验支撑,待验证,需M6场景图像
